FIPS,Name,State FIPS Code,County FIPS Code,State Abbreviation,POPESTIMATE2023,Premature Death raw value,Poor or Fair Health raw value,Low Birthweight raw value,Adult Smoking raw value,Adult Obesity raw value,Food Environment Index raw value,Physical Inactivity raw value,Access to Exercise Opportunities raw value,Uninsured raw value,Primary Care Physicians raw value,Dentists raw value,Mental Health Providers raw value,Preventable Hospital Stays raw value,Mammography Screening raw value,Flu Vaccinations raw value,High School Completion raw value,Unemployment raw value,Children in Poverty raw value,Income Inequality raw value,Children in Single-Parent Households raw value,Injury Deaths raw value,Air Pollution - Particulate Matter raw value,Severe Housing Problems raw value,Driving Alone to Work raw value,Long Commute - Driving Alone raw value,Life Expectancy raw value,Food Insecurity raw value,Insufficient Sleep raw value,Median Household Income raw value,Voter Turnout raw value,Broadband Access raw value
1000,Alabama,1.0,0.0,AL,5108468,10350.071456,0.189,0.1043276003,0.195,0.393,5.3,0.278,0.6092667226,0.1182271569,0.0006579252,0.0004869166,0.0012541973,3599.0,0.36,0.44,0.8740270016,0.0343902829,0.227,5.1766763312,0.3090921916,86.9057184,9.3,0.1315678879,0.8378249329,0.35,74.83594896,0.145,0.3924300962,53990.0,0.6263600041,0.8204571454
1001,Autauga County,1.0,1.0,AL,60342,8027.3947267,0.169,0.0973815192,0.183,0.373,6.6,0.264,0.5553779441,0.1055942098,0.0004452756,0.0003215162,0.00035536,4372.0,0.38,0.42,0.8958449033,0.0281690141,0.161,4.7943999665,0.2676617636,68.573069812,10.0,0.1444262678,0.8640108852,0.416,76.585649727,0.145,0.375,66444.0,0.6618207817,0.8546394583
1003,Baldwin County,1.0,3.0,AL,253507,8118.3582061,0.149,0.0838573118,0.169,0.326,7.5,0.232,0.6573584678,0.1087488083,0.0006542019,0.0004764014,0.0010447399,2864.0,0.39,0.47,0.9101415633,0.0296297786,0.164,4.3007098007,0.1869917038,74.835078875,7.6,0.1223897195,0.8140185095,0.376,77.724729177,0.124,0.351,65658.0,0.652909486,0.8785640555
1005,Barbour County,1.0,5.0,AL,24585,12876.760319,0.275,0.1191467222,0.259,0.464,5.8,0.357,0.548428022,0.1436827544,0.0003253487,0.0003204615,0.0002403461,3559.0,0.41,0.4,0.7567101973,0.0572160547,0.351,5.1805972095,0.5407717164,82.143056519,9.4,0.1621187801,0.8312256234,0.365,72.867210115,0.195,0.439,38649.0,0.5402157165,0.6461267606
1007,Bibb County,1.0,7.0,AL,21868,11191.474323,0.216,0.1003307607,0.228,0.384,7.4,0.316,0.182119948,0.1300787792,0.0006324539,0.0002669395,0.0004004093,4856.0,0.31,0.34,0.8053808308,0.0348130841,0.29,5.0349852694,0.2944395797,103.34904358,9.8,0.1132075472,0.8696522392,0.551,73.609363092,0.164,0.4,48454.0,0.5456354848,0.746011577
1009,Blount County,1.0,9.0,AL,59816,10787.014541,0.184,0.0785988894,0.218,0.327,7.8,0.285,0.4135353604,0.1325467229,0.0002073291,0.0001693738,0.0002032486,3010.0,0.32,0.42,0.8364807711,0.0237991006,0.167,4.803717903,0.2217992826,104.7493276,9.6,0.0988246582,0.8642026925,0.595,74.1714626,0.138,0.373,56894.0,0.6418799442,0.8095774648
1011,Bullock County,1.0,11.0,AL,9897,11406.351094,0.297,0.1506228766,0.255,0.483,4.3,0.396,0.0278072801,0.1236754705,0.0003007217,0.0001937984,0.0001937984,3047.0,0.35,0.32,0.7760651447,0.0399478941,0.417,6.274395038,0.6766623207,98.258853123,9.3,0.1292613636,0.838658147,0.494,73.81468226,0.16,0.46,32027.0,0.590653009,0.5943258263
1013,Butler County,1.0,13.0,AL,18382,12717.030159,0.227,0.1282853567,0.223,0.454,6.8,0.323,0.4500551152,0.1348505435,0.0002050861,0.0003706842,0.0008472781,4201.0,0.33,0.34,0.8556485356,0.0532060027,0.342,5.3352661233,0.332187858,105.63201463,9.1,0.1168332052,0.8659173023,0.347,73.473279047,0.163,0.409,39442.0,0.6291777188,0.763435921
1015,Calhoun County,1.0,15.0,AL,116429,11826.11499,0.196,0.094372108,0.21,0.374,6.0,0.281,0.6479676403,0.1292500085,0.0005992826,0.0006553306,0.0014917394,3722.0,0.3,0.39,0.8521485616,0.0413287653,0.252,4.8198680752,0.30135467,92.519581559,9.7,0.1189328551,0.8492825926,0.3,72.825007074,0.161,0.381,48166.0,0.5785633227,0.8156902585
1017,Chambers County,1.0,17.0,AL,34079,11059.443876,0.215,0.1265306122,0.217,0.412,6.9,0.322,0.4993097895,0.1321948889,0.0004259851,0.0002026577,8.68533e-05,3181.0,0.29,0.44,0.8278153697,0.0367572372,0.322,4.2124930284,0.3250206669,101.02217706,9.8,0.1650557621,0.8697871197,0.281,73.761104989,0.151,0.434,45447.0,0.5852575148,0.7713175341
1019,Cherokee County,1.0,19.0,AL,25666,11395.898384,0.193,0.0829238329,0.227,0.413,7.4,0.286,0.3822434023,0.1284478372,0.0003803149,0.0001600256,0.0002400384,3916.0,0.31,0.47,0.7982208722,0.0250677507,0.266,4.8088995665,0.2497407177,98.382832196,9.5,0.0926874709,0.8482077922,0.456,74.014400904,0.142,0.382,46365.0,0.5951136913,0.7667148163
1021,Chilton County,1.0,21.0,AL,46431,10342.204935,0.204,0.0904406081,0.221,0.375,7.1,0.308,0.3278979873,0.1526298176,0.0002252404,0.0002871405,0.0007288952,4009.0,0.31,0.41,0.8176131526,0.0285195094,0.224,4.1315323104,0.2026825633,88.240884038,9.9,0.1453471196,0.831147354,0.508,74.391084705,0.159,0.408,55142.0,0.5950693374,0.7825141891
1023,Choctaw County,1.0,23.0,AL,12252,12128.658021,0.225,0.1152304609,0.22,0.414,6.1,0.307,0.2516383735,0.1267112036,0.0004026413,0.0004787361,7.97894e-05,3102.0,0.45,0.34,0.8058398879,0.0435634938,0.324,6.2560824473,0.4431554524,97.200012542,9.3,0.1018867925,0.8291081938,0.481,74.214010199,0.169,0.431,40601.0,0.7328424153,0.6373056995
1025,Clarke County,1.0,25.0,AL,22337,14428.01727,0.24,0.1313686314,0.233,0.406,5.1,0.32,0.5298652922,0.1369839838,0.0004722854,0.0003514938,0.0009226714,3547.0,0.29,0.3,0.8222386133,0.0597980844,0.292,5.9284713376,0.4168115942,98.903677876,9.5,0.1232123212,0.8968690096,0.352,71.737339284,0.191,0.409,45447.0,0.702970297,0.6779393939
